date,time,id,itime,euid,epid,dsteuid,dstepid,logver,sfsid,type,subtype,level,action,policyid,sessionid,srcip,dstip,transip,srcport,dstport,transport,trandisp,duration,proto,sentbyte,rcvdbyte,sentpkt,rcvdpkt,logid,service,app,appcat,srcintfrole,dstintfrole,srcserver,appid,apprisk,policytype,eventtime,srcuuid,dstuuid,poluuid,srcmac,mastersrcmac,srchwvendor,srcfamily,devtype,osname,srccountry,dstcountry,srcintf,dstintf,applist,policyname,dstowner,tz,devid,vd,csf,dtime,itime_t,devname
2022-04-05,16:01:00,7083243142392053852,2022-04-05 16:01:00,102,102,102,102,700020234,0,traffic,forward,notice,accept,13,222134,10.100.94.20,8.8.8.8,10.100.64.101,47003,53,47003,snat,180,17,112,156,2,2,0000000022,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196060747941507,b5824846-b50e-51ec-ceb6-43e5699a5c4c,b5824846-b50e-51ec-ceb6-43e5699a5c4c,03cbb83e-b50f-51ec-c2da-55b686344f32,00:09:0f:00:03:01,00:09:0f:00:03:01,Fortinet,Firewall,Network,FortiOS,Reserved,United%20States,port3,port1,default,LAN to Internet,google.com,-0600,FGVM02TM21012206,root,fabric,2022-04-05 16:01:00,1649196060,Enterprise_Core
2022-04-05,16:00:59,7083243142392053839,2022-04-05 16:01:00,102,102,102,102,700020234,0,traffic,forward,notice,accept,13,222126,10.100.92.9,8.8.8.8,10.100.64.101,39403,53,39403,snat,180,17,120,164,2,2,0000000022,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196060090753008,b5824846-b50e-51ec-ceb6-43e5699a5c4c,b5824846-b50e-51ec-ceb6-43e5699a5c4c,03cbb83e-b50f-51ec-c2da-55b686344f32,00:09:0f:00:03:02,00:09:0f:00:03:02,Fortinet,Firewall,Network,FortiOS,Reserved,United%20States,port3,port1,default,LAN to Internet,google.com,-0600,FGVM02TM21012206,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Core
2022-04-05,16:00:59,7083243142392053838,2022-04-05 16:01:00,102,102,102,102,700020234,0,traffic,forward,notice,accept,13,222125,10.200.1.5,8.8.8.8,10.100.64.101,48182,53,48182,snat,180,17,45,120,1,1,0000000022,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196060090633377,b5824846-b50e-51ec-ceb6-43e5699a5c4c,b5824846-b50e-51ec-ceb6-43e5699a5c4c,03cbb83e-b50f-51ec-c2da-55b686344f32,00:09:0f:00:03:02,00:09:0f:00:03:02,Fortinet,Firewall,Network,FortiOS,Reserved,United%20States,port3,port1,default,LAN to Internet,google.com,-0600,FGVM02TM21012206,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Core
2022-04-05,16:00:59,7083243142392053811,2022-04-05 16:01:00,3,1033,3,101,1,700020234,0,traffic,forward,notice,accept,1,120132,10.100.92.9,8.8.8.8,39403,53,noop,180,17,120,164,2,2,0000000013,LAN-FINANCE,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196060040333033,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05af8202-b50f-51ec-73e1-a804aa971efd,00:03:93:66:fd:59,00:03:93:66:fd:59,Apple,Linux,Reserved,United%20States,port3,port1,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053810,2022-04-05 16:01:00,1042,1044,3,101,1,700020234,0,traffic,forward,notice,accept,5,120131,10.200.1.5,8.8.8.8,48182,53,noop,180,17,45,120,1,1,0000000013,Charlie Medina,Charlie%20Medina%20Desktop,DNS,DNS,unscanned,45E150933E1144CD93D4B8B27BE96072,lan,wan,0,policy,1649196060040328299,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05c05654-b50f-51ec-bd87-cad9892b7e3d,00:15:00:bf:cc:6f,00:15:00:bf:cc:6f,Reserved,United%20States,vsw.port5,port1,forticlient,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053807,2022-04-05 16:01:00,3,1033,3,101,1,700020234,0,traffic,forward,notice,accept,1,120124,10.100.92.9,8.8.8.8,46934,53,noop,180,17,120,164,2,2,0000000013,LAN-FINANCE,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196059400421219,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05af8202-b50f-51ec-73e1-a804aa971efd,00:03:93:66:fd:59,00:03:93:66:fd:59,Apple,Linux,Reserved,United%20States,port3,port1,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053806,2022-04-05 16:01:00,3,1033,3,101,1,700020234,0,traffic,forward,notice,accept,1,120122,10.100.92.9,8.8.8.8,34309,53,noop,180,17,104,184,2,2,0000000013,LAN-FINANCE,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196059400418423,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05af8202-b50f-51ec-73e1-a804aa971efd,00:03:93:66:fd:59,00:03:93:66:fd:59,Apple,Linux,Reserved,United%20States,port3,port1,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053803,2022-04-05 16:01:00,1026,1026,3,101,1,700020234,0,traffic,forward,notice,accept,2,120118,10.100.93.2,8.8.8.8,57017,53,noop,180,17,120,164,2,2,0000000013,Caden Herman,Caden%20Herman%20PC,DNS,DNS,Network.Service,7FFEF5A9D47149DF90FE35CC9F6F4019,lan,wan,0,16195,elevated,policy,1649196059400411141,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05b3ed60-b50f-51ec-0236-854530704c7c,f4:03:04:da:81:3a,f4:03:04:da:81:3a,Reserved,United%20States,port2,port1,forticlient,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053802,2022-04-05 16:01:00,1026,1026,3,101,1,700020234,0,traffic,forward,notice,accept,2,120115,10.100.93.2,8.8.8.8,47487,53,noop,180,17,120,164,2,2,0000000013,Caden Herman,Caden%20Herman%20PC,DNS,DNS,Network.Service,7FFEF5A9D47149DF90FE35CC9F6F4019,lan,wan,0,16195,elevated,policy,1649196059400409476,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05b3ed60-b50f-51ec-0236-854530704c7c,f4:03:04:da:81:3a,f4:03:04:da:81:3a,Reserved,United%20States,port2,port1,forticlient,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
2022-04-05,16:00:59,7083243142392053801,2022-04-05 16:01:00,3,1033,3,101,1,700020234,0,traffic,forward,notice,accept,1,120114,10.100.92.9,8.8.8.8,46737,53,noop,180,17,104,184,2,2,0000000013,LAN-FINANCE,DNS,DNS,Network.Service,lan,wan,0,16195,elevated,policy,1649196059400406515,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,b562e1c2-b50e-51ec-7f1a-3b1488060ca0,05af8202-b50f-51ec-73e1-a804aa971efd,00:03:93:66:fd:59,00:03:93:66:fd:59,Apple,Linux,Reserved,United%20States,port3,port1,default,google.com,-0600,FGVM02TM21011358,root,fabric,2022-04-05 16:00:59,1649196060,Enterprise_Second_Floor
